STEMMING,tokenized_sents,polarity_score,polarity
vanluthfan c0mbra1n anyaselalubenar gin bro n nmisal nih psikolog konseleenya korban perkosa kdrt n napakah konselor psikolog rasa perkosa kdrt ngejalanin proses konseling terapi n ncoba,"['vanluthfan', 'c0mbra1n', 'anyaselalubenar', 'gin', 'bro', 'n', 'nmisal', 'nih', 'psikolog', 'konseleenya', 'korban', 'perkosa', 'kdrt', 'n', 'napakah', 'konselor', 'psikolog', 'rasa', 'perkosa', 'kdrt', 'ngejalanin', 'proses', 'konseling', 'terapi', 'n', 'ncoba']",-5,-1
tidak baik2 hubung n nbegitu konflik kacamata kuda fokus pasang buka kacamata uji hawa nafsu n nyang kalah ya selingkuh nbegitu tahu sangkal emosi begitu begitu kdrt,"['tidak', 'baik2', 'hubung', 'n', 'nbegitu', 'konflik', 'kacamata', 'kuda', 'fokus', 'pasang', 'buka', 'kacamata', 'uji', 'hawa', 'nafsu', 'n', 'nyang', 'kalah', 'ya', 'selingkuh', 'nbegitu', 'tahu', 'sangkal', 'emosi', 'begitu', 'begitu', 'kdrt']",-15,-1
dengar selingkuh kdrt tulang rusuk tulang punggung wanita tekan nikah nrimo ing pandum,"['dengar', 'selingkuh', 'kdrt', 'tulang', 'rusuk', 'tulang', 'punggung', 'wanita', 'tekan', 'nikah', 'nrimo', 'ing', 'pandum']",-14,-1
enjeeel jorneamas tanyarlfes tanya situasi yang bikin ingin udahan kaya kdrt selingkuh yang sepele tapi ulang kalau tidak berat kak,"['enjeeel', 'jorneamas', 'tanyarlfes', 'tanya', 'situasi', 'yang', 'bikin', 'ingin', 'udahan', 'kaya', 'kdrt', 'selingkuh', 'yang', 'sepele', 'tapi', 'ulang', 'kalau', 'tidak', 'berat', 'kak']",-25,-1
pikir tidak meni takut meni alas,"['pikir', 'tidak', 'meni', 'takut', 'meni', 'alas']",-5,-1
detikcom cerai berat cerai karena liat orang tiga ekonomi kdrt benar benar beda tuju beda arah kaya tuh sih sepele penting,"['detikcom', 'cerai', 'berat', 'cerai', 'karena', 'liat', 'orang', 'tiga', 'ekonomi', 'kdrt', 'benar', 'benar', 'beda', 'tuju', 'beda', 'arah', 'kaya', 'tuh', 'sih', 'sepele', 'penting']",-23,-1
coryphie calamitsy thue1975 tidak kdrt dimentab,"['coryphie', 'calamitsy', 'thue1975', 'tidak', 'kdrt', 'dimentab']",-5,-1
anyaselalubenar nope n njustru nikah kamu wadon payung hukum nuntut tanggung si laki kalau fraud kabur selingkuh sampai kdrt n nkalo hanya fwb hamil laki kabur kamu nuntut tanggung pakai dasar wkwkwk,"['anyaselalubenar', 'nope', 'n', 'njustru', 'nikah', 'kamu', 'wadon', 'payung', 'hukum', 'nuntut', 'tanggung', 'si', 'laki', 'kalau', 'fraud', 'kabur', 'selingkuh', 'sampai', 'kdrt', 'n', 'nkalo', 'hanya', 'fwb', 'hamil', 'laki', 'kabur', 'kamu', 'nuntut', 'tanggung', 'pakai', 'dasar', 'wkwkwk']",-22,-1
kamu sarkas gimana nsuami yang kdrt anak amp istri karena tidak bisa tanggung jawab tidak bisa nafkahin tidak bisa kasih uang susu anak lagi2 yang salah wanita n n malu suami dengan live n jaga aib suami n ngiliran wanita realis cr yang bisa nafkahin bilang matre nbangsat,"['kamu', 'sarkas', 'gimana', 'nsuami', 'yang', 'kdrt', 'anak', 'amp', 'istri', 'karena', 'tidak', 'bisa', 'tanggung', 'jawab', 'tidak', 'bisa', 'nafkahin', 'tidak', 'bisa', 'kasih', 'uang', 'susu', 'anak', 'lagi2', 'yang', 'salah', 'wanita', 'n', 'n', 'malu', 'suami', 'dengan', 'live', 'n', 'jaga', 'aib', 'suami', 'n', 'ngiliran', 'wanita', 'realis', 'cr', 'yang', 'bisa', 'nafkahin', 'bilang', 'matre', 'nbangsat']",-48,-1
fandiadji peluk senja01 salima252lagi keburu banding keburu iman solat puasa maksiat kdrt buruk,"['fandiadji', 'peluk', 'senja01', 'salima252lagi', 'keburu', 'banding', 'keburu', 'iman', 'solat', 'puasa', 'maksiat', 'kdrt', 'buruk']",-15,-1
tanyarlfes kemarin bilang saya pada tunang twitter pada kdrt tidak jadi iriii lahhh bikin iriii,"['tanyarlfes', 'kemarin', 'bilang', 'saya', 'pada', 'tunang', 'twitter', 'pada', 'kdrt', 'tidak', 'jadi', 'iriii', 'lahhh', 'bikin', 'iriii']",-12,-1
babytascya gedor2 pintu kdrt tuh,"['babytascya', 'gedor2', 'pintu', 'kdrt', 'tuh']",0,1
suami suka kdrt part 14 https t co kyu7cj3dhy,"['suami', 'suka', 'kdrt', 'part', '14', 'https', 't', 'co', 'kyu7cj3dhy']",2,1
tetangga keluarga yang laku alim sekali takut nikah sudah kenyang orang yang dari lihat dlmnya dajjal yang kdrt selingkuh tidak kasih nafkah dengan alas rezeki allah atur,"['tetangga', 'keluarga', 'yang', 'laku', 'alim', 'sekali', 'takut', 'nikah', 'sudah', 'kenyang', 'orang', 'yang', 'dari', 'lihat', 'dlmnya', 'dajjal', 'yang', 'kdrt', 'selingkuh', 'tidak', 'kasih', 'nafkah', 'dengan', 'alas', 'rezeki', 'allah', 'atur']",-11,-1
banyak role model nikah yang bahagia dunia akhirat salafus shalih antum patok artis yang tidak berakhlakul karimah n nlagian nih situ artis ya ngapain olah hidup kamu mirip kocak benar nih catur magnet,"['banyak', 'role', 'model', 'nikah', 'yang', 'bahagia', 'dunia', 'akhirat', 'salafus', 'shalih', 'antum', 'patok', 'artis', 'yang', 'tidak', 'berakhlakul', 'karimah', 'n', 'nlagian', 'nih', 'situ', 'artis', 'ya', 'ngapain', 'olah', 'hidup', 'kamu', 'mirip', 'kocak', 'benar', 'nih', 'catur', 'magnet']",-10,-1
tanyakanrl istri malu suami halayak netizen dengan live pas mood jelek marah marah npesan wanita cari lelaki yang minimal nafkah kadang nakal sedikit jadi hehe,"['tanyakanrl', 'istri', 'malu', 'suami', 'halayak', 'netizen', 'dengan', 'live', 'pas', 'mood', 'jelek', 'marah', 'marah', 'npesan', 'wanita', 'cari', 'lelaki', 'yang', 'minimal', 'nafkah', 'kadang', 'nakal', 'sedikit', 'jadi', 'hehe']",-24,-1
sisthaaaaa benullll sistha n ndan yang bikin emosi yang nikah tuju kembang biak sahaja tahu tanggung telah anak rejeki propaganda dari orang2 yang duit saja tidak jadi korban kdrt orangtua gara2 tidak ada duit,"['sisthaaaaa', 'benullll', 'sistha', 'n', 'ndan', 'yang', 'bikin', 'emosi', 'yang', 'nikah', 'tuju', 'kembang', 'biak', 'sahaja', 'tahu', 'tanggung', 'telah', 'anak', 'rejeki', 'propaganda', 'dari', 'orang2', 'yang', 'duit', 'saja', 'tidak', 'jadi', 'korban', 'kdrt', 'orangtua', 'gara2', 'tidak', 'ada', 'duit']",-34,-1
lim ji yeon korban kdrt drama baru https t co zxof1wmwxr,"['lim', 'ji', 'yeon', 'korban', 'kdrt', 'drama', 'baru', 'https', 't', 'co', 'zxof1wmwxr']",-8,-1
arifasatar marisambat mhuseinali sepakat isi ngelindungin yang tidak salah karena kdrt selingkuh,"['arifasatar', 'marisambat', 'mhuseinali', 'sepakat', 'isi', 'ngelindungin', 'yang', 'tidak', 'salah', 'karena', 'kdrt', 'selingkuh']",-21,-1
hiddennotwell tanyarlfes selingkuh kdrt verbal fisik,"['hiddennotwell', 'tanyarlfes', 'selingkuh', 'kdrt', 'verbal', 'fisik']",-4,-1
avocativeman kdrt nama wkwk,"['avocativeman', 'kdrt', 'nama', 'wkwk']",0,1
southjaya tanyakanrl kdrt,"['southjaya', 'tanyakanrl', 'kdrt']",0,1
sit oh sorry2 maksud kaya cerita tetangga kampung umur 17 sudah nikah kerja nganggur butuh sudah gampang kdrt nikah muda nya meni kadang yang usia segitu,"['sit', 'oh', 'sorry2', 'maksud', 'kaya', 'cerita', 'tetangga', 'kampung', 'umur', '17', 'sudah', 'nikah', 'kerja', 'nganggur', 'butuh', 'sudah', 'gampang', 'kdrt', 'nikah', 'muda', 'nya', 'meni', 'kadang', 'yang', 'usia', 'segitu']",-10,-1
shanggup mhuseinali diem2 kdrt rumah neraka grgr pasang tidak cerai tidak tahu abis gimana tidak janji yang untuk nuntut si laku selingkuh kdrt asa tidak salah yang makan janji manis,"['shanggup', 'mhuseinali', 'diem2', 'kdrt', 'rumah', 'neraka', 'grgr', 'pasang', 'tidak', 'cerai', 'tidak', 'tahu', 'abis', 'gimana', 'tidak', 'janji', 'yang', 'untuk', 'nuntut', 'si', 'laku', 'selingkuh', 'kdrt', 'asa', 'tidak', 'salah', 'yang', 'makan', 'janji', 'manis']",-41,-1
butterkidy thveeey kdrt laporin pkk,"['butterkidy', 'thveeey', 'kdrt', 'laporin', 'pkk']",-3,-1
ya bukti kdrt manipulasi keras yang tidak apa deh orang ribut belum apa2 yang tahu benar deh tntg nikah orang,"['ya', 'bukti', 'kdrt', 'manipulasi', 'keras', 'yang', 'tidak', 'apa', 'deh', 'orang', 'ribut', 'belum', 'apa2', 'yang', 'tahu', 'benar', 'deh', 'tntg', 'nikah', 'orang']",-24,-1
blaklaiv detikcom nakal cewek kang selingkuh kdrt tidak ubah banyak tobat ulang,"['blaklaiv', 'detikcom', 'nakal', 'cewek', 'kang', 'selingkuh', 'kdrt', 'tidak', 'ubah', 'banyak', 'tobat', 'ulang']",-17,-1
sahabat cewek yang meni matang umur curhat diri betapa trauma jenjang nikah tengah gempur berita cerai selingkuh kdrt uji nikah,"['sahabat', 'cewek', 'yang', 'meni', 'matang', 'umur', 'curhat', 'diri', 'betapa', 'trauma', 'jenjang', 'nikah', 'tengah', 'gempur', 'berita', 'cerai', 'selingkuh', 'kdrt', 'uji', 'nikah']",-16,-1
kit ku koknmemar memar mirip abis kdrt yak,"['kit', 'ku', 'koknmemar', 'memar', 'mirip', 'abis', 'kdrt', 'yak']",-2,-1
kdrt,['kdrt'],0,1
arbagicok siegblackmoon tanyakanrl saya si istri sengaja ngelive bukti kalau memang suami kdrt jadi sudah digebukin tapi tidak rekam sekarang kalau ngelapor juga bukti,"['arbagicok', 'siegblackmoon', 'tanyakanrl', 'saya', 'si', 'istri', 'sengaja', 'ngelive', 'bukti', 'kalau', 'memang', 'suami', 'kdrt', 'jadi', 'sudah', 'digebukin', 'tapi', 'tidak', 'rekam', 'sekarang', 'kalau', 'ngelapor', 'juga', 'bukti']",-17,-1
yourlovlygirl siegblackmoon tanyakanrl na iya maksud si istri yang salah harus kalau buktiin si cowok kdrt duit tidak tgg jawab sama butuh anak ya jangan dengan mancing ajak ribut pas live btw tapi gitulah kalau tekan ekonomi didik rendah nikah muda,"['yourlovlygirl', 'siegblackmoon', 'tanyakanrl', 'na', 'iya', 'maksud', 'si', 'istri', 'yang', 'salah', 'harus', 'kalau', 'buktiin', 'si', 'cowok', 'kdrt', 'duit', 'tidak', 'tgg', 'jawab', 'sama', 'butuh', 'anak', 'ya', 'jangan', 'dengan', 'mancing', 'ajak', 'ribut', 'pas', 'live', 'btw', 'tapi', 'gitulah', 'kalau', 'tekan', 'ekonomi', 'didik', 'rendah', 'nikah', 'muda']",-27,-1
irhmptra mhuseinali kdrt sampai suami tidak kerja saja cerai muak sih,"['irhmptra', 'mhuseinali', 'kdrt', 'sampai', 'suami', 'tidak', 'kerja', 'saja', 'cerai', 'muak', 'sih']",-19,-1
kdrt sesimple udin,"['kdrt', 'sesimple', 'udin']",0,1
detikcom padahal desta karirnya suami yang finansial bagus alas ibadah nya desta juang ya moga saja bukan karena selingkuh kdrt,"['detikcom', 'padahal', 'desta', 'karirnya', 'suami', 'yang', 'finansial', 'bagus', 'alas', 'ibadah', 'nya', 'desta', 'juang', 'ya', 'moga', 'saja', 'bukan', 'karena', 'selingkuh', 'kdrt']",-16,-1
hiddennotwell tanyarlfes selingkuh kdrt agama yang tidak tolerir,"['hiddennotwell', 'tanyarlfes', 'selingkuh', 'kdrt', 'agama', 'yang', 'tidak', 'tolerir']",-18,-1
yourlovlygirl siegblackmoon tanyakanrl oh iya memang tidak salah ngelive kalau memang bukti si cowok kdrt turut jangan mancing2 dengan tb2 teriak2 marah2 begitu bisa coba pas live contohin deh bicara baik2 uang trnyta laki langsung marah mukul baru sudah odgj namany,"['yourlovlygirl', 'siegblackmoon', 'tanyakanrl', 'oh', 'iya', 'memang', 'tidak', 'salah', 'ngelive', 'kalau', 'memang', 'bukti', 'si', 'cowok', 'kdrt', 'turut', 'jangan', 'mancing2', 'dengan', 'tb2', 'teriak2', 'marah2', 'begitu', 'bisa', 'coba', 'pas', 'live', 'contohin', 'deh', 'bicara', 'baik2', 'uang', 'trnyta', 'laki', 'langsung', 'marah', 'mukul', 'baru', 'sudah', 'odgj', 'namany']",-9,-1
joonyoumng kdrt makan mukul mukul,"['joonyoumng', 'kdrt', 'makan', 'mukul', 'mukul']",0,1
convomf jadi bekas tidak kamu lupain,"['convomf', 'jadi', 'bekas', 'tidak', 'kamu', 'lupain']",-4,-1
tanyakanrl oke oke sudah nasihat cewek tidak terima netizen nsekarang cowok nikah pilih cewek tidak cerewet tidak tuntut biar tidak emosi kdrt nakal rajin sembahyang,"['tanyakanrl', 'oke', 'oke', 'sudah', 'nasihat', 'cewek', 'tidak', 'terima', 'netizen', 'nsekarang', 'cowok', 'nikah', 'pilih', 'cewek', 'tidak', 'cerewet', 'tidak', 'tuntut', 'biar', 'tidak', 'emosi', 'kdrt', 'nakal', 'rajin', 'sembahyang']",-27,-1
liat desta cerai sender jadi ganti agama katolik saja karena tidak cerai katolik,"['liat', 'desta', 'cerai', 'sender', 'jadi', 'ganti', 'agama', 'katolik', 'saja', 'karena', 'tidak', 'cerai', 'katolik']",-22,-1
ceritagenz kalaka siegblackmoon tanyakanrl tambah kdrt suami tolol goblok sudah miskin tidak tolol kalau tahu tidak punya duit jangan nikahin anak orang goblok maaf bang emosi sama yang vid,"['ceritagenz', 'kalaka', 'siegblackmoon', 'tanyakanrl', 'tambah', 'kdrt', 'suami', 'tolol', 'goblok', 'sudah', 'miskin', 'tidak', 'tolol', 'kalau', 'tahu', 'tidak', 'punya', 'duit', 'jangan', 'nikahin', 'anak', 'orang', 'goblok', 'maaf', 'bang', 'emosi', 'sama', 'yang', 'vid']",-36,-1
tanyarlfes mantan pacar cerita taaruf 4x temu meni hidup penuh kdrt 25 tidak cerai keluarga karena aib keluarga status janda,"['tanyarlfes', 'mantan', 'pacar', 'cerita', 'taaruf', '4x', 'temu', 'meni', 'hidup', 'penuh', 'kdrt', '25', 'tidak', 'cerai', 'keluarga', 'karena', 'aib', 'keluarga', 'status', 'janda']",-18,-1
mcfluwffy tanyarlfes sudah wanti2 awal apa bicara cari solusi kecuali selingkuh kdrt,"['mcfluwffy', 'tanyarlfes', 'sudah', 'wanti2', 'awal', 'apa', 'bicara', 'cari', 'solusi', 'kecuali', 'selingkuh', 'kdrt']",-7,-1
yerimkim tidak kdrt,"['yerimkim', 'tidak', 'kdrt']",-5,-1
sopesnoona siegblackmoon tanyakanrl tidak salah kak istri ngelive karena memang kdrt tidak tambah biar si cowok ini kasih duit istri juga perempuan kak tidak punya tenaga yang taik suami ini orang goblok tolol istri bukti kak bayangin kakak harus urus anak suami,"['sopesnoona', 'siegblackmoon', 'tanyakanrl', 'tidak', 'salah', 'kak', 'istri', 'ngelive', 'karena', 'memang', 'kdrt', 'tidak', 'tambah', 'biar', 'si', 'cowok', 'ini', 'kasih', 'duit', 'istri', 'juga', 'perempuan', 'kak', 'tidak', 'punya', 'tenaga', 'yang', 'taik', 'suami', 'ini', 'orang', 'goblok', 'tolol', 'istri', 'bukti', 'kak', 'bayangin', 'kakak', 'harus', 'urus', 'anak', 'suami']",-38,-1
wanita rusia jahat feminin elegan tapi mereka tumbuh negara miskin kdrt suka keras kotor candu obat skizofrenia hobi cari visa untuk tinggal barat kencan dengan bule uang rela perkosa https t co 3eaol8p8g7,"['wanita', 'rusia', 'jahat', 'feminin', 'elegan', 'tapi', 'mereka', 'tumbuh', 'negara', 'miskin', 'kdrt', 'suka', 'keras', 'kotor', 'candu', 'obat', 'skizofrenia', 'hobi', 'cari', 'visa', 'untuk', 'tinggal', 'barat', 'kencan', 'dengan', 'bule', 'uang', 'rela', 'perkosa', 'https', 't', 'co', '3eaol8p8g7']",-16,-1
joenomad tanyakanrl bagaimana ya nih orang pola pikir lakik kalau sudah berani nikahin anak orang ya kudu dengan segala tuntut yang dalam rumah tangga kalau bik tidak crwt minimal penuhin butuh jadi kpla kluarga gedein emosi sama kdrt tidak usah nikah dulu deh lebih baik dolan2 dulu saja,"['joenomad', 'tanyakanrl', 'bagaimana', 'ya', 'nih', 'orang', 'pola', 'pikir', 'lakik', 'kalau', 'sudah', 'berani', 'nikahin', 'anak', 'orang', 'ya', 'kudu', 'dengan', 'segala', 'tuntut', 'yang', 'dalam', 'rumah', 'tangga', 'kalau', 'bik', 'tidak', 'crwt', 'minimal', 'penuhin', 'butuh', 'jadi', 'kpla', 'kluarga', 'gedein', 'emosi', 'sama', 'kdrt', 'tidak', 'usah', 'nikah', 'dulu', 'deh', 'lebih', 'baik', 'dolan2', 'dulu', 'saja']",-27,-1
fix mah angkat ayah yang jahat gas ayah angkat kdrt sama mahira ibu,"['fix', 'mah', 'angkat', 'ayah', 'yang', 'jahat', 'gas', 'ayah', 'angkat', 'kdrt', 'sama', 'mahira', 'ibu']",-4,-1
h0rnsuck kdrt ih,"['h0rnsuck', 'kdrt', 'ih']",0,1
buset nanti kalau dapat katolik kdrt selingkuh hidup sudah tidak tidak cerai nder alias suka duka terima,"['buset', 'nanti', 'kalau', 'dapat', 'katolik', 'kdrt', 'selingkuh', 'hidup', 'sudah', 'tidak', 'tidak', 'cerai', 'nder', 'alias', 'suka', 'duka', 'terima']",-20,-1
uniexvers suka kdrt ya,"['uniexvers', 'suka', 'kdrt', 'ya']",2,1
imyourluvee langit luh pulang syaiton sudah senja tidak anggep tidak ajak wleo wleo kdrt pulak phi tunggu karma langit,"['imyourluvee', 'langit', 'luh', 'pulang', 'syaiton', 'sudah', 'senja', 'tidak', 'anggep', 'tidak', 'ajak', 'wleo', 'wleo', 'kdrt', 'pulak', 'phi', 'tunggu', 'karma', 'langit']",-11,-1
ndrewstjan cerai larang pakai alas anak tuh anak tumbuh dengan kalau bagaimana n nunggu kdrt nunggu digeprek pakai closet nunggu gorok leher kalau takdir cerai ya cerai tidak maksa tahan banyak janda yang hasil didik anak dengan,"['ndrewstjan', 'cerai', 'larang', 'pakai', 'alas', 'anak', 'tuh', 'anak', 'tumbuh', 'dengan', 'kalau', 'bagaimana', 'n', 'nunggu', 'kdrt', 'nunggu', 'digeprek', 'pakai', 'closet', 'nunggu', 'gorok', 'leher', 'kalau', 'takdir', 'cerai', 'ya', 'cerai', 'tidak', 'maksa', 'tahan', 'banyak', 'janda', 'yang', 'hasil', 'didik', 'anak', 'dengan']",-27,-1
gesangnurh alam sih tapi lingkung keluarga yang cerai kdrt selingkuh dan lain sekarang tidak buka hati,"['gesangnurh', 'alam', 'sih', 'tapi', 'lingkung', 'keluarga', 'yang', 'cerai', 'kdrt', 'selingkuh', 'dan', 'lain', 'sekarang', 'tidak', 'buka', 'hati']",-21,-1
tanyarlfes alhamdulillah berita hangat rumah tangga hidup nikah marak selingkuh cerai kdrt dan lain moga langgeng ya nder,"['tanyarlfes', 'alhamdulillah', 'berita', 'hangat', 'rumah', 'tangga', 'hidup', 'nikah', 'marak', 'selingkuh', 'cerai', 'kdrt', 'dan', 'lain', 'moga', 'langgeng', 'ya', 'nder']",-9,-1
hoobaei tanyarlfes takut kdrt toxic suami ngaruh anak takut mana anak kaya bapak tidak gagal nikah nikah dengan toxic mertua yang julid so nikmat muda,"['hoobaei', 'tanyarlfes', 'takut', 'kdrt', 'toxic', 'suami', 'ngaruh', 'anak', 'takut', 'mana', 'anak', 'kaya', 'bapak', 'tidak', 'gagal', 'nikah', 'nikah', 'dengan', 'toxic', 'mertua', 'yang', 'julid', 'so', 'nikmat', 'muda']",-21,-1
siegblackmoon tanyakanrl gedek sangat aama laki kdrt anak sampai mukul anak,"['siegblackmoon', 'tanyakanrl', 'gedek', 'sangat', 'aama', 'laki', 'kdrt', 'anak', 'sampai', 'mukul', 'anak']",-4,-1
ngollehc tanyakanrl efek samping penjara mumet nang uji sabar tidak mudah istri cerewet situasi tekan suami tahan emosi kdrt anak korban nsemoga sabar luas rejeki nya,"['ngollehc', 'tanyakanrl', 'efek', 'samping', 'penjara', 'mumet', 'nang', 'uji', 'sabar', 'tidak', 'mudah', 'istri', 'cerewet', 'situasi', 'tekan', 'suami', 'tahan', 'emosi', 'kdrt', 'anak', 'korban', 'nsemoga', 'sabar', 'luas', 'rejeki', 'nya']",-11,-1
tanyakanrl kalau pasang nya selingkuh kdrt sabar terima sampai ajal jemput lieeur,"['tanyakanrl', 'kalau', 'pasang', 'nya', 'selingkuh', 'kdrt', 'sabar', 'terima', 'sampai', 'ajal', 'jemput', 'lieeur']",2,1
tulis mahira asli tegak lurus huruf duga surat temu dukung opini mahira bunuh https t co wnfierdfye,"['tulis', 'mahira', 'asli', 'tegak', 'lurus', 'huruf', 'duga', 'surat', 'temu', 'dukung', 'opini', 'mahira', 'bunuh', 'https', 't', 'co', 'wnfierdfye']",9,1
xxtravert bagi campur urus rumah tangga orang itu kalau kdrt ancam nyawa tapi kalau selingkuh cerai bagi sudah urus pribadi yang tidak komenin sampai konspirasi aneh2,"['xxtravert', 'bagi', 'campur', 'urus', 'rumah', 'tangga', 'orang', 'itu', 'kalau', 'kdrt', 'ancam', 'nyawa', 'tapi', 'kalau', 'selingkuh', 'cerai', 'bagi', 'sudah', 'urus', 'pribadi', 'yang', 'tidak', 'komenin', 'sampai', 'konspirasi', 'aneh2']",-27,-1
,[],0,1
5,['5'],0,1
geloraco bajing tuwir gelandang politik npartainya pan rebut besan nanaknya jadi lawan karena mertua neh sang anak cerai istri dengan tuduh karena mabuk kdrt odgj n nsi anak viral rantam pesawat dengan pimpin kpk,"['geloraco', 'bajing', 'tuwir', 'gelandang', 'politik', 'npartainya', 'pan', 'rebut', 'besan', 'nanaknya', 'jadi', 'lawan', 'karena', 'mertua', 'neh', 'sang', 'anak', 'cerai', 'istri', 'dengan', 'tuduh', 'karena', 'mabuk', 'kdrt', 'odgj', 'n', 'nsi', 'anak', 'viral', 'rantam', 'pesawat', 'dengan', 'pimpin', 'kpk']",-24,-1
bluebabyyy1 tanyakanrl nsabar kesal ya nsoalnya kata manusia janji allah umat takwa jaga suci kalau muslim buka alquran annur ayat 32 n nnah sekarang kenapa kdrt,"['bluebabyyy1', 'tanyakanrl', 'nsabar', 'kesal', 'ya', 'nsoalnya', 'kata', 'manusia', 'janji', 'allah', 'umat', 'takwa', 'jaga', 'suci', 'kalau', 'muslim', 'buka', 'alquran', 'annur', 'ayat', '32', 'n', 'nnah', 'sekarang', 'kenapa', 'kdrt']",9,1
stop adik saya kdrt,"['stop', 'adik', 'saya', 'kdrt']",-3,-1
amp so relatable kdrt dan lain memang keburu buta pemeran2 yang tidak familiar and they really did justice to the original cast tho cause they all still appear in some episodes bentar nyambung begitu muncul sama plot endingnya,"['amp', 'so', 'relatable', 'kdrt', 'dan', 'lain', 'memang', 'keburu', 'buta', 'pemeran2', 'yang', 'tidak', 'familiar', 'and', 'they', 'really', 'did', 'justice', 'to', 'the', 'original', 'cast', 'tho', 'cause', 'they', 'all', 'still', 'appear', 'in', 'some', 'episodes', 'bentar', 'nyambung', 'begitu', 'muncul', 'sama', 'plot', 'endingnya']",-15,-1
hyuckie hara tanyakanrl kalau kdrt bisa batalin nikah ajuin gereja sertain bukti,"['hyuckie', 'hara', 'tanyakanrl', 'kalau', 'kdrt', 'bisa', 'batalin', 'nikah', 'ajuin', 'gereja', 'sertain', 'bukti']",-5,-1
desta asli mah hanya caca n njadi pisah orang ke3 kdrt buang ya pikir,"['desta', 'asli', 'mah', 'hanya', 'caca', 'n', 'njadi', 'pisah', 'orang', 'ke3', 'kdrt', 'buang', 'ya', 'pikir']",-8,-1
al1eeff snflwersz randiandra 89 tanyakanrl kamu pikir saja kdrt keras fisik gay,"['al1eeff', 'snflwersz', 'randiandra', '89', 'tanyakanrl', 'kamu', 'pikir', 'saja', 'kdrt', 'keras', 'fisik', 'gay']",-4,-1
ocassiopeian kdrt wkwk,"['ocassiopeian', 'kdrt', 'wkwk']",0,1
rentpurpose 07bianlynd rentfess benar bun suka kdrt fix,"['rentpurpose', '07bianlynd', 'rentfess', 'benar', 'bun', 'suka', 'kdrt', 'fix']",0,1
joenomad tanyakanrl kalau kek begitu mending cerai balikin orang tua nya kenapa siksa apa alas kamu tidak logis saya tahu laki laki hormat kalau sudah main ya sampah beli rokok beli susu tidak statmen kamu kek dukung kdrt,"['joenomad', 'tanyakanrl', 'kalau', 'kek', 'begitu', 'mending', 'cerai', 'balikin', 'orang', 'tua', 'nya', 'kenapa', 'siksa', 'apa', 'alas', 'kamu', 'tidak', 'logis', 'saya', 'tahu', 'laki', 'laki', 'hormat', 'kalau', 'sudah', 'main', 'ya', 'sampah', 'beli', 'rokok', 'beli', 'susu', 'tidak', 'statmen', 'kamu', 'kek', 'dukung', 'kdrt']",-40,-1
hiddennotwell tanyarlfes selingkuh kdrt tidak bisa tolerir sangat,"['hiddennotwell', 'tanyarlfes', 'selingkuh', 'kdrt', 'tidak', 'bisa', 'tolerir', 'sangat']",-12,-1
tanyarlfes tidak tolerir nikah yang tolerir,"['tanyarlfes', 'tidak', 'tolerir', 'nikah', 'yang', 'tolerir']",-11,-1
susah sih kalau sudah banyak beda pandang gin https t co dlpuxap2i7,"['susah', 'sih', 'kalau', 'sudah', 'banyak', 'beda', 'pandang', 'gin', 'https', 't', 'co', 'dlpuxap2i7']",-4,-1
sangat berita cerai selingkuh kdrt takut dewasa,"['sangat', 'berita', 'cerai', 'selingkuh', 'kdrt', 'takut', 'dewasa']",-16,-1
gelut nder hanya tidak pakai kdrt kalau tengkar pakai fisik alias cubit jambak tendang main2 kalau tengkar gede ya diem2an begitu nanti diomongin kalau belum ketemu solusi ya nder,"['gelut', 'nder', 'hanya', 'tidak', 'pakai', 'kdrt', 'kalau', 'tengkar', 'pakai', 'fisik', 'alias', 'cubit', 'jambak', 'tendang', 'main2', 'kalau', 'tengkar', 'gede', 'ya', 'diem2an', 'begitu', 'nanti', 'diomongin', 'kalau', 'belum', 'ketemu', 'solusi', 'ya', 'nder']",-28,-1
kdrt selingkuh,"['kdrt', 'selingkuh']",-5,-1
nahh yang kaya gin kek selingkuh kdrt terus yang,"['nahh', 'yang', 'kaya', 'gin', 'kek', 'selingkuh', 'kdrt', 'terus', 'yang']",-15,-1
tanyarlfes tengkar selesai sprti,"['tanyarlfes', 'tengkar', 'selesai', 'sprti']",-2,-1
suami bilang banyak uang yang kasih kamu pasti uang yang lagi kamu senang rejekiku datang kamu apa bilang kasih,"['suami', 'bilang', 'banyak', 'uang', 'yang', 'kasih', 'kamu', 'pasti', 'uang', 'yang', 'lagi', 'kamu', 'senang', 'rejekiku', 'datang', 'kamu', 'apa', 'bilang', 'kasih']",-14,-1
bluebabyyy1 tanyakanrl kdrt suami istri hidup agama n ntapi luar yang jilbab jenggot rajin ibadah kaji dan lain kdrt n ncek ibadah karena allah jangan2 niat biar bilang alim,"['bluebabyyy1', 'tanyakanrl', 'kdrt', 'suami', 'istri', 'hidup', 'agama', 'n', 'ntapi', 'luar', 'yang', 'jilbab', 'jenggot', 'rajin', 'ibadah', 'kaji', 'dan', 'lain', 'kdrt', 'n', 'ncek', 'ibadah', 'karena', 'allah', 'jangan2', 'niat', 'biar', 'bilang', 'alim']",6,1
yoonadite kdrt https t co zejh8l92ib,"['yoonadite', 'kdrt', 'https', 't', 'co', 'zejh8l92ib']",0,1
